stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_stationroutes,
2509,2509,"122 Street & 51 Avenue",,  53.488919,-113.540971,,,0,43:50:53,
2510,2510,"129 Street & 63 Avenue",,  53.498416,-113.550115,,,0,50,
2511,2511,"122 Street & 51 Avenue",,  53.487784,-113.541294,,,0,33:34:43:53,
2512,2512,"118 Street & 87 Avenue",,  53.523008,-113.534897,,,0,128:130:313,
2513,2513,"18 Street & 80 Avenue",,  53.515906,-113.372687,,,0,83,
2514,2514,"124 Street & 49 Avenue",,  53.487020,-113.546588,,,0,50,
2515,2515,"Groat Road & Hawrelak Park",,  53.529651,-113.539902,,,0,128:130:725:757,
2516,2516,"114 Street & 78 Avenue",,  53.514548,-113.525645,,,0,4:106,
2517,2517,"122A Street & 48 Avenue",,  53.485413,-113.542356,,,0,50,
2518,2518,"114 Street & 54 Avenue",,  53.490994,-113.524230,,,0,55,
2519,2519,"124 Street & 62 Avenue",,  53.497779,-113.544021,,,0,50,
2520,2520,"89 Street & 80 Avenue",,  53.516314,-113.464336,,,0,151,
2521,2521,"77 Street & 106 Avenue",,  53.549259,-113.445818,,,0,88:94,
2522,2522,"65 Street & 106B Avenue",,  53.553212,-113.430080,,,0,88:94,
2523,2523,"56 Street & 85 Avenue",,  53.520224,-113.423460,,,0,80,
2525,2525,"83 Street & 76 Avenue",,  53.512655,-113.455011,,,0,8:15:80:83:96,
2526,2526,"86 Street & Argyll Road",,  53.499877,-113.457715,,,0,8:15:81:87,
2527,2527,"93 Street & 82 Avenue",,  53.517925,-113.469605,,,0,4:94:323,
2528,2528,"52 Street & 82 Avenue",,  53.517998,-113.420005,,,0,82,
2529,2529,"79 Street & 101 Avenue",,  53.541157,-113.448561,,,0,1,
2530,2530,"Ottewell Road & 96A Avenue",,  53.534902,-113.437414,,,0,112:307,
2531,2531,"88 Street & 66 Avenue",,  53.502698,-113.465745,,,0,81:87,
2532,2532,"50 Street & 98 Avenue",,  53.537030,-113.418746,,,0,4:84,
2533,2533,"50 Street & 92 Avenue",,  53.526799,-113.417374,,,0,80,
2534,2534,"75 Street & 90 Avenue",,  53.525306,-113.444244,,,0,80:85:307,
2535,2535,"96 Street & 82 Avenue",,  53.517570,-113.476774,,,0,87:323,
2536,2536,"49 Street & 76 Avenue",,  53.512419,-113.416779,,,0,83:306,
2537,2537,"80 Street & Wagner Road",,  53.499288,-113.449362,,,0,80,
2538,2538,"79 Street & 76 Avenue",,  53.512310,-113.449380,,,0,83:96:151,
2539,2539,"81 Street & 73 Avenue",,  53.509780,-113.451977,,,0,80,
2540,2540,"Ottewell Road & 98 Avenue",,  53.536995,-113.437896,,,0,112:307,
